seq,frame,n_points,mean,median,std,min,max,pos_rate_0.01,pos_rate_0.05,pos_rate_0.1,pos_rate_0.5,pos_rate_0.9,tp_0.01,tp_0.05,tp_0.1,tp_0.5,tp_0.9,fp_0.01,fp_0.05,fp_0.1,fp_0.5,fp_0.9,fn_0.01,fn_0.05,fn_0.1,fn_0.5,fn_0.9
seq-11,frame-000100,8192,0.025093382224440575,0.0252227783203125,0.00038092100294306874,0.024139404296875,0.025665283203125,1.0,0.0,0.0,0.0,0.0,37,0,0,0,0,8155,0,0,0,0,0,37,37,37,37
seq-11,frame-000200,8192,0.02493106946349144,0.024993896484375,0.000357967073796317,0.024139404296875,0.0255584716796875,1.0,0.0,0.0,0.0,0.0,59,0,0,0,0,8133,0,0,0,0,0,59,59,59,59
seq-11,frame-000300,8192,0.02493758499622345,0.0250396728515625,0.0003474043624009937,0.0241851806640625,0.0254669189453125,1.0,0.0,0.0,0.0,0.0,25,0,0,0,0,8167,0,0,0,0,0,25,25,25,25
seq-11,frame-000400,8192,0.025052327662706375,0.025177001953125,0.0003496894205454737,0.0242767333984375,0.0255126953125,1.0,0.0,0.0,0.0,0.0,8,0,0,0,0,8184,0,0,0,0,0,8,8,8,8
seq-11,frame-000500,8192,0.025091778486967087,0.0251312255859375,0.00025610753800719976,0.0244293212890625,0.0255126953125,1.0,0.0,0.0,0.0,0.0,11,0,0,0,0,8181,0,0,0,0,0,11,11,11,11
seq-11,frame-000600,8192,0.024961117655038834,0.0250396728515625,0.0003474843397270888,0.0241851806640625,0.0255126953125,1.0,0.0,0.0,0.0,0.0,136,0,0,0,0,8056,0,0,0,0,0,136,136,136,136
seq-11,frame-000700,8192,0.024942651391029358,0.024993896484375,0.0003170349227730185,0.0241851806640625,0.0255126953125,1.0,0.0,0.0,0.0,0.0,71,0,0,0,0,8121,0,0,0,0,0,71,71,71,71
seq-11,frame-000800,8192,0.025062374770641327,0.025177001953125,0.00032386777456849813,0.0241851806640625,0.0256195068359375,1.0,0.0,0.0,0.0,0.0,49,0,0,0,0,8143,0,0,0,0,0,49,49,49,49
seq-11,frame-000900,8192,0.025125492364168167,0.025177001953125,0.0003098789311479777,0.024383544921875,0.0257110595703125,1.0,0.0,0.0,0.0,0.0,52,0,0,0,0,8140,0,0,0,0,0,52,52,52,52
seq-13,frame-000000,8192,0.02506553754210472,0.0251312255859375,0.0003219531790819019,0.02423095703125,0.0255584716796875,1.0,0.0,0.0,0.0,0.0,5,0,0,0,0,8187,0,0,0,0,0,5,5,5,5
seq-13,frame-000100,8192,0.024972127750515938,0.024993896484375,0.0003200458304490894,0.02423095703125,0.0255584716796875,1.0,0.0,0.0,0.0,0.0,22,0,0,0,0,8170,0,0,0,0,0,22,22,22,22
seq-13,frame-000200,8192,0.024910777807235718,0.024993896484375,0.0003332295746076852,0.0240936279296875,0.0255584716796875,1.0,0.0,0.0,0.0,0.0,59,0,0,0,0,8133,0,0,0,0,0,59,59,59,59
seq-13,frame-000300,7625,0.024983996525406837,0.0250396728515625,0.0003545268264133483,0.0240936279296875,0.0255584716796875,1.0,0.0,0.0,0.0,0.0,90,0,0,0,0,7535,0,0,0,0,0,90,90,90,90
seq-13,frame-000500,8192,0.025022447109222412,0.0251312255859375,0.0003733720222953707,0.024139404296875,0.0256195068359375,1.0,0.0,0.0,0.0,0.0,63,0,0,0,0,8129,0,0,0,0,0,63,63,63,63
seq-13,frame-000700,8192,0.024969086050987244,0.0250396728515625,0.0003400298592168838,0.0242767333984375,0.025421142578125,1.0,0.0,0.0,0.0,0.0,7,0,0,0,0,8185,0,0,0,0,0,7,7,7,7
seq-13,frame-000800,8192,0.025141987949609756,0.025177001953125,0.0002434520429233089,0.0245208740234375,0.0256195068359375,1.0,0.0,0.0,0.0,0.0,14,0,0,0,0,8178,0,0,0,0,0,14,14,14,14
seq-13,frame-000900,8192,0.025125304237008095,0.0251312255859375,0.00023082362895365804,0.0245208740234375,0.0256195068359375,1.0,0.0,0.0,0.0,0.0,22,0,0,0,0,8170,0,0,0,0,0,22,22,22,22
